SampleID,Helcococcus_seattlensis,sample_site,add_0c,facility,decomp_stage,host_subject_id
soil.face.SHSU.2016.072.2016.11.20.day17,0,soil.face,289.9,SHSU,advanced,2016.072
soil.hip.SHSU.2016.072.2016.11.15.day12,0.002455327,soil.hip,209.6,SHSU,advanced,2016.072
soil.hip.SHSU.2016.073.2016.11.19.day16,0.003049626,soil.hip,281,SHSU,advanced,2016.073
soil.face.SHSU.2016.072.2016.11.17.day14,0,soil.face,252.9,SHSU,advanced,2016.072
soil.hip.SHSU.206.072.2016.11.16.day13,0.000840831,soil.hip,230.7,SHSU,advanced,2016.072
soil.face.SHSU.2016.076.2016.11.23.day2,0.000136045,soil.face,15.55,SHSU,early,2016.076
soil.hip.CMU.17.04.2017.03.day20,0.000378186,soil.hip,254.4,CMU,advanced,Mr 17-04
soil.face.SHSU.2016.076.2016.12.02.day11,0,soil.face,149.4,SHSU,active,2016.076
soil.hip.SHSU.2016.072.2016.11.05.day2,0,soil.hip,19.45,SHSU,early,2016.072
soil.face.SHSU.2016.072.2016.11.23.day20,0.000645856,soil.face,342.45,SHSU,advanced,2016.072
soil.hip.CMU.17.04.2017.03.day14,0.000151389,soil.hip,191.65,CMU,active,Mr 17-04
soil.face.SHSU.2016.072.2016.11.13.day10,0,soil.face,170.4,SHSU,active,2016.072
soil.face.SHSU.2016.076.2016.11.28.day7,0,soil.face,99.45,SHSU,active,2016.076
soil.hip.SHSU.2016.072.2016.11.11.day8,0,soil.hip,135.35,SHSU,active,2016.072
soil.face.CMU.17.04.2017.03.day6,0,soil.face,61.65,CMU,active,Mr 17-04
soil.hip.SHSU.2016.076.2016.11.24.day3,0.008601465,soil.hip,30.55,SHSU,early,2016.076
soil.hip.CMU.17.04.2017.03.day18,0.008293378,soil.hip,235.2,CMU,advanced,Mr 17-04
soil.hip.SHSU.2016.072.2016.11.19.day16,0.000411128,soil.hip,281,SHSU,advanced,2016.072
soil.hip.SHSU.2016.072.2016.11.08.day5,0,soil.hip,82,SHSU,active,2016.072
soil.hip.SHSU.2016.072.2016.11.07.day4,0,soil.hip,62.55,SHSU,active,2016.072
