OTU ID	43654_S1316_L003	43849_S2090_L003	44048_S1317_L003	54815_S2153_L003	55009_S2121_L003	55209_S2162_L003	60699_S2212_L003	60878_S1804_L003	60898_S1837_L003	61057_S2062_L003	61076_S1820_L003	61114_S1810_L003	63650_S1634_L003	63670_S1670_L003	64945_S2242_L003	64947_S2196_L003	64964_S1632_L003	65127_S2213_L003	65144_S1636_L003	65147_S2269_L003	65161_S2114_L003	65180_S1705_L003
CMU.bins.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011375549493248235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8765753996296244e-05	0.0	0.00012987103527697323	0.0	0.0	0.0	0.0	0.00039388776172176237	0.0	0.0	0.0	0.0	0.0
SHSU.bins.492	1.3274337960831475e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0233982320342534e-05	0.0	1.635283344193323e-05	1.1401625631335575e-05	2.1338807659763343e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.190	0.03371779006080187	0.005263814929704455	0.00782039571601133	0.04481491044319706	0.0031551069952269304	0.05971283091235646	0.006881687274074207	0.008895670352521853	0.0056411154435265275	0.0021365811493325505	0.002175612644830534	0.0059429479142876955	0.00023509655425699337	0.0002337483624564246	0.030045070100531302	0.006439007010488717	0.002609923883760121	0.0013575639860667857	0.0011462457077142454	0.012253083738844001	0.0010100705010167791	0.0037635917196374006
UTK.bins.33	0.0	9.866768418453575e-07	0.0	0.0	0.0	0.0	0.0	0.0004130037235117105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UTK.bins.127	0.00011080134806119433	3.932820248622175e-06	0.00028686713455986927	4.426126543772178e-06	1.1094230279961159e-05	3.298864989577025e-05	0.0	0.0	3.8541549198030344e-05	3.5593099158264807e-05	0.00010211167079757393	6.824886853849476e-05	0.0	0.0	0.0	0.0	0.0	3.432049959156631e-06	0.0	1.5989317354289917e-05	0.0	8.832144158143258e-05
SHSU.bins.186	0.012843245832201085	0.009815399123043165	0.0553006373848186	0.047272625467502626	0.003356653582146134	0.031493572447284394	0.0030328886004302676	0.004507444465221286	0.0034473156599361	0.0027710261452039485	0.0018018050199461602	0.004214985144919787	0.0005501196969599243	0.0005554316870271944	0.013771846796318403	0.0030982530983572443	0.0004723039341929809	0.0010587571331545924	0.000491017771815685	0.003670234522238909	0.0005412935609805177	0.0014509897545507975
SHSU.bins.450	0.0	3.684285070827551e-05	0.00011951981273514033	0.0	1.7648688854563033e-05	0.0	3.132581597157347e-05	0.0	0.0	0.0004963814485311465	0.0010829275720904885	0.00044634424124084327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.239301563667343e-06	0.0	0.00037467119155128035
SHSU_active.final.35	0.0	8.024510283050128e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.357438284833263e-06	0.0	0.0	4.530958445681776e-05	0.00010297082905610407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SHSU.bins.150	0.1290590085089625	0.03724764667210901	0.09130493917151729	0.28453916281395003	0.1595011196480424	0.19657436896739636	0.17966041410174863	0.15486224131951293	0.15767134444635258	0.19926369729574606	0.16492229097887692	0.15581182232328994	0.05126119983036727	0.054589961896598274	0.11057629245207388	0.09532280610616516	0.22442442121356268	0.10806460797051987	0.05554465491118479	0.14083106550487806	0.09254437949049134	0.10399021541011313
