id,(Intercept),add_0c_groupactive,add_0c_groupadvanced,add_0c_groupearly
2179,1.1613085404167696e-5,1.337521926993265e-5,1.4144170745768588e-5,1.2517396802451278e-5
2685,1.2614325979210344e-5,6.565051221743306e-5,1.619459326999033e-4,1.3643918383002914e-5
3482,1.1613085404168435e-5,1.3395077145684837e-5,1.5113645575282889e-5,1.2509809788869576e-5
3160,1.1613085404165448e-5,1.684391466239642e-5,3.940789506596774e-5,1.2509809788867257e-5
3601,1.1613085404168088e-5,1.3374945140446407e-5,1.7802857406990354e-5,1.2509809788869222e-5
3016,1.1613085404168589e-5,1.3168325171347165e-5,2.7309948268652016e-5,1.2509809788869703e-5
2382,1.43985152439841e-4,1.5292953600622245e-4,1.5128263583657803e-4,1.5652982128514883e-4
1175,8.431044679433028e-5,9.897005334365695e-5,9.477437465367307e-5,9.538966119286372e-5
443,2.5844433845119554e-4,2.7495336853374246e-4,2.7621013309681204e-4,2.7862870697902426e-4
935,3.9784263184973175e-5,5.213016211875579e-5,1.0674799164293305e-4,4.76342614820033e-5
1645,2.23952431827103e-4,2.3739735339958732e-4,2.379623986952919e-4,2.4300165570315975e-4
554,1.5265910068576995e-4,1.6586135617205623e-4,1.838242637593447e-4,1.634341341154995e-4
3535,1.1613085404170586e-5,1.54867634634673e-5,1.0534554128031244e-4,1.2509809788867738e-5
2810,1.1613085404153781e-5,1.7719231887682244e-5,7.747693779323016e-5,1.2483030493758354e-5
601,2.6606359329784453e-5,3.1215084610297276e-5,3.1653574966624764e-5,2.9402306696683116e-5
4146,1.0967915991854998e-5,1.2950221403179139e-5,1.4579272437745776e-5,1.1901904038763263e-5
4322,1.1613085404168243e-5,1.4350429230286535e-5,1.7586327950689795e-5,1.2509809788869354e-5
716,1.0022675023164169e-4,1.0477569788910806e-4,1.0634887122824725e-4,1.0717644472562714e-4
2874,1.1613085404162196e-5,1.3184023319643133e-5,7.191847891487576e-5,1.2491589447809278e-5
1510,3.8291710001977035e-5,4.357447794385812e-5,5.3874196766838045e-5,4.53164446684815e-5
4367,1.1613085404168157e-5,1.3100885656525486e-5,1.871758950557329e-5,1.2509809788869332e-5
539,4.126480354489949e-5,4.4642276868597565e-5,4.6380579491699025e-5,4.568519233246705e-5
2722,2.482710487359321e-5,2.748298904153915e-5,2.7929065732062608e-5,2.67936351225456e-5
5984,1.1613085404167596e-5,3.087818430604416e-5,7.149099203801611e-5,1.2509809788868782e-5
1061,1.5774950866174944e-5,1.7807560919655156e-5,1.9234397510958973e-5,1.7099987714075063e-5
483,5.622764973548221e-5,6.164245032419263e-5,6.345177740460364e-5,6.110480944990915e-5
3693,1.1613085404165543e-5,1.3651907933184829e-5,4.6151675687703765e-5,1.2509809788866845e-5
453,9.359418808431771e-4,9.95921521840207e-4,9.832474856334176e-4,0.0010308331181974528
3599,1.1613085404167676e-5,1.345319553388325e-5,1.648756697136585e-5,1.250980978886887e-5
6048,1.1613085404168337e-5,1.3342975051920418e-5,2.4349879035159987e-5,1.2509809788869571e-5
5939,1.1613085404167706e-5,1.314320167732221e-5,1.7478954308577068e-5,1.2509809788868885e-5
1680,3.214161867002614e-4,3.5253862438847756e-4,3.497063232347131e-4,3.624462088701404e-4
2042,1.1613085404168276e-5,1.6759047280325468e-5,1.8854943071976773e-5,1.54230811199191e-5
2205,2.7673947731624506e-5,2.9505534353850955e-5,3.237300884520854e-5,2.9648267306098695e-5
907,3.931806574107862e-5,1.2895831767268756e-4,1.5773691508306337e-4,4.70923886568024e-5
664,3.0107262068244362e-5,3.3355908859066425e-5,3.69767535090887e-5,3.203928634307015e-5
495,1.815296399029409e-5,2.0691095670175238e-5,2.197392240857053e-5,2.0133893933808462e-5
2244,1.3297774286159328e-5,4.8435773620788036e-5,6.734229923270148e-5,1.4068070512397167e-5
1437,3.2699871291396196e-5,4.123167061063591e-5,5.153763304869194e-5,3.6725451816450584e-5
212,2.6781854786818696e-5,3.463109991645507e-5,4.7797890962050275e-5,2.9099716040187833e-5
583,5.982046289614841e-5,6.467335787562582e-5,6.572498406564933e-5,6.360527052549905e-5
1455,1.3518556653100796e-5,1.5230347889295416e-5,1.6745964698920736e-5,1.4505779112612432e-5
1096,3.761476969883511e-5,5.683294805304032e-5,1.281388888290217e-4,4.3869226864906624e-5
3445,1.0955803068312949e-5,1.2955592401339555e-5,1.4610341427682585e-5,1.1963756854151763e-5
2763,1.2006039595498633e-5,1.396685146588656e-5,1.5510241124731698e-5,1.3125402192119145e-5
3515,1.1739004984497048e-5,1.4105493448651583e-5,1.8441190902126784e-5,1.2626790026575798e-5
967,1.5148724138751315e-5,1.761815646872387e-5,1.8471782466745646e-5,1.6626822746947756e-5
1043,1.2517714109464831e-5,8.928494169916e-5,1.4619916621217623e-4,1.3374094355080614e-5
811,4.686145033605066e-5,4.740143496647652e-5,4.871832800095936e-5,4.728919910427384e-5
1264,1.1917065940437604e-5,1.3934362984063367e-5,1.5477024811786815e-5,1.2955271504170683e-5
816,1.185150528410207e-5,2.6113472198500477e-5,2.1572373508849727e-5,1.2897071473801531e-5
2621,1.9918629356658417e-5,2.1941911058048138e-5,2.296643214583567e-5,2.1165557274404575e-5
7367,1.1613085404178731e-5,6.837398130934316e-5,1.608806317457831e-4,1.250980978887724e-5
732,1.0977368020201543e-5,1.2999736821337061e-5,1.463383696955489e-5,1.2216114498758458e-5
3458,1.1613085404167739e-5,1.426468044211208e-5,1.814783691571039e-5,1.2509809788868914e-5
2054,4.270158973362668e-5,5.178507326356103e-5,7.345225908658984e-5,4.378215775954919e-5
1547,3.1699382977857913e-4,3.350799570019742e-4,3.2998891633166476e-4,3.685970544148332e-4
396,1.1613085404166341e-5,2.246718819977837e-5,5.203044151125454e-5,1.25098097888675e-5
916,1.773734877881625e-5,2.0307923235030445e-5,2.2047137107069107e-5,2.5562891237298355e-5
