sample_name,season,subjects,add_0c,add_0c_group,facility,timepoint
soil.hip.CMU.16.10.2016.08.23.day18,summer,Mrs. 16-10,421.7,advanced,CMU,422
soil.hip.CMU.16.10.2016.08.21.day16,summer,Mrs. 16-10,376.1,advanced,CMU,376
soil.hip.CMU.16.10.2016.08.18.day13,summer,Mrs. 16-10,303.9,advanced,CMU,304
soil.hip.CMU.16.10.2016.08.12.day7,summer,Mrs. 16-10,153.05,active,CMU,153
soil.hip.CMU.16.10.2016.08.10.day5,summer,Mrs. 16-10,104.45,active,CMU,104
soil.hip.CMU.16.10.2016.08.09.day4,summer,Mrs. 16-10,78.05,active,CMU,78
soil.hip.CMU.16.10.2016.08.07.day2,summer,Mrs. 16-10,24.45,early,CMU,24
soil.hip.CMU.16.09.2016.08.15.day21,summer,Mrs. 16-09,521.95,advanced,CMU,522
soil.hip.CMU.16.09.2016.08.11.day17,summer,Mrs. 16-09,422.75,advanced,CMU,423
soil.hip.UTK.K016.11.2017.06.03.day10,summer,UTK.K016.11,193.3,active,UTK,193
soil.hip.UTK.K016.11.2017.06.04.day11,summer,UTK.K016.11,215.2,advanced,UTK,215
soil.hip.UTK.K016.11.2017.05.28.day4,summer,UTK.K016.11,62.3,active,UTK,62
soil.hip.UTK.K016.11.2017.05.26.day2,summer,UTK.K016.11,18.3,early,UTK,18
soil.hip.UTK.K016.11.2017.05.27.day3,summer,UTK.K016.11,41.5,early,UTK,42
soil.hip.UTK.K016.11.2017.05.25.day1,summer,UTK.K016.11,0,day0,UTK,0
soil.hip.UTK.K016.11.2017.05.30.day6,summer,UTK.K016.11,105.8,active,UTK,106
soil.hip.UTK.K016.11.2017.05.29.day5,summer,UTK.K016.11,84.2,active,UTK,84
soil.hip.UTK.K016.10.2017.06.14.day21,summer,UTK.K016.10,441.3,advanced,UTK,441
soil.hip.UTK.K016.10.2017.06.12.day19,summer,UTK.K016.10,392.2,advanced,UTK,392
soil.hip.UTK.K016.10.2017.06.10.day17,summer,UTK.K016.10,341.7,advanced,UTK,342
soil.hip.UTK.K016.10.2017.06.08.day15,summer,UTK.K016.10,298.6,advanced,UTK,299
soil.hip.UTK.K016.10.2017.06.09.day16,summer,UTK.K016.10,319.6,advanced,UTK,320
soil.hip.UTK.K016.10.2017.06.07.day14,summer,UTK.K016.10,278.9,advanced,UTK,279
soil.hip.UTK.K016.10.2017.06.06.day13,summer,UTK.K016.10,258.6,advanced,UTK,259
soil.hip.UTK.K016.10.2017.06.05.day12,summer,UTK.K016.10,236.6,advanced,UTK,237
soil.hip.UTK.K016.10.2017.06.03.day10,summer,UTK.K016.10,193.3,active,UTK,193
soil.hip.UTK.K016.10.2017.06.02.day9,summer,UTK.K016.10,170.3,active,UTK,170
soil.hip.UTK.K016.10.2017.05.31.day7,summer,UTK.K016.10,126.4,active,UTK,126
soil.hip.UTK.K016.10.2017.06.01.day8,summer,UTK.K016.10,148.5,active,UTK,149
soil.hip.UTK.K016.10.2017.05.30.day6,summer,UTK.K016.10,105.8,active,UTK,106
soil.hip.UTK.K016.10.2017.05.29.day5,summer,UTK.K016.10,84.2,active,UTK,84
soil.hip.UTK.K016.10.2017.05.27.day3,summer,UTK.K016.10,41.5,early,UTK,42
soil.hip.UTK.K016.10.2017.05.28.day4,summer,UTK.K016.10,62.3,active,UTK,62
