id	sample_site	host_subject_id	observed_otus	predicted observed_otus	residual	add_0c
soil.hip.UTK.K016.06.2016.10.13.day9	Decomposition Soil	UTK.K016.06	292	959.8971383	-355.6808014	146.4
soil.hip.UTK.K016.06.2016.10.14.day10	Decomposition Soil	UTK.K016.06	328	925.3659539	-285.149617	166.5
soil.hip.UTK.K016.06.2016.10.15.day11	Decomposition Soil	UTK.K016.06	394	889.1168001	-182.9004632	187.6
soil.hip.UTK.K016.06.2016.10.16.day12	Decomposition Soil	UTK.K016.06	405	851.8368647	-134.6205278	209.3
soil.hip.UTK.K016.06.2016.10.17.day13	Decomposition Soil	UTK.K016.06	272	816.7902895	-232.5739525	229.7
soil.hip.UTK.K016.06.2016.10.18.day14	Decomposition Soil	UTK.K016.06	344	778.3077755	-122.0914386	252.1
soil.hip.UTK.K016.06.2016.10.19.day15	Decomposition Soil	UTK.K016.06	345	737.2483075	-80.03197053	276
soil.hip.UTK.K016.06.2016.10.20.day16	Decomposition Soil	UTK.K016.06	312	696.5324333	-72.31609638	299.7
soil.hip.UTK.K016.06.2016.10.21.day17	Decomposition Soil	UTK.K016.06	328	667.4987509	-27.28241396	316.6
soil.hip.UTK.K016.06.2016.10.22.day18	Decomposition Soil	UTK.K016.06	277	647.5703062	-58.35396923	328.2
soil.hip.UTK.K016.06.2016.10.23.day19	Decomposition Soil	UTK.K016.06	389	627.2982676	73.91806938	340
soil.hip.UTK.K016.06.2016.10.24.day20	Decomposition Soil	UTK.K016.06	173	597.9209913	-112.7046543	357.1
soil.hip.UTK.K016.06.2016.10.25.day21	Decomposition Soil	UTK.K016.06	345	570.2616844	86.95465259	373.2
soil.ctrl.UTK.K016.07.2017.Jan.06.day1	Control Soil	K016.07	1333	1177.927649	4.540211226	0
soil.ctrl.UTK.K016.07.2017.Jan.08.day2	Control Soil	K016.07	1300	1177.927649	-28.45978877	0
soil.ctrl.UTK.K016.07.2017.Jan.09.day3	Control Soil	K016.07	1094	1177.927649	-234.4597888	0
soil.ctrl.UTK.K016.07.2017.Jan.10.day4	Control Soil	K016.07	1131	1178.24009	-197.7722302	3.9
soil.ctrl.UTK.K016.07.2017.Jan.11.day5	Control Soil	K016.07	1338	1179.193437	8.274423039	15.8
soil.ctrl.UTK.K016.07.2017.Jan.12.day6	Control Soil	K016.07	1181	1180.555361	-150.087501	32.8
soil.ctrl.UTK.K016.07.2017.Jan.13.day7	Control Soil	K016.07	1380	1181.877228	47.59063163	49.3
soil.ctrl.UTK.K016.07.2017.Jan.14.day8	Control Soil	K016.07	1297	1183.094949	-36.62708865	64.5
soil.ctrl.UTK.K016.07.2017.Jan.15.day9	Control Soil	K016.07	1336	1184.368748	1.099111845	80.4
soil.ctrl.UTK.K016.07.2017.Jan.16.day10	Control Soil	K016.07	1357	1185.466299	21.00156133	94.1
soil.ctrl.UTK.K016.07.2017.Jan.17.day11	Control Soil	K016.07	1297	1186.716064	-40.24820422	109.7
soil.ctrl.UTK.K016.07.2017.Jan.18.day12	Control Soil	K016.07	1246	1187.869694	-92.40183396	124.1
soil.ctrl.UTK.K016.07.2017.Jan.19.day13	Control Soil	K016.07	1254	1188.654803	-85.18694309	133.9
soil.ctrl.UTK.K016.07.2017.Jan.20.day14	Control Soil	K016.07	1243	1189.808433	-97.34057283	148.3
soil.ctrl.UTK.K016.07.2017.Jan.21.day15	Control Soil	K016.07	1194	1190.82587	-147.3580102	161
soil.ctrl.UTK.K016.07.2017.Jan.22.day16	Control Soil	K016.07	1179	1191.915409	-163.4475494	174.6
soil.ctrl.UTK.K016.07.2017.Jan.23.day17	Control Soil	K016.07	1384	1192.844722	40.62313778	186.2
soil.ctrl.UTK.K016.07.2017.Jan.24.day18	Control Soil	K016.07	1288	1193.477616	-56.00975631	194.1
soil.ctrl.UTK.K016.07.2017.Jan.25.day19	Control Soil	K016.07	1255	1194.126533	-89.65867304	202.2
soil.ctrl.UTK.K016.07.2017.Jan.26.day20	Control Soil	K016.07	1240	1194.983744	-105.515884	212.9
soil.ctrl.UTK.K016.07.2017.Jan.27.day21	Control Soil	K016.07	1193	1195.224084	-152.7562236	215.9
