community	medium	size	mip	mro	stage	Facility
Loop94	complete	20	27	0.628733997	advanced	STAFS
Loop95	complete	20	31	0.643474358	advanced	STAFS
Loop96	complete	20	31	0.607838746	advanced	STAFS
Loop97	complete	20	29	0.65353568	advanced	STAFS
Loop98	complete	20	29	0.644568869	advanced	STAFS
Loop99	complete	20	29	0.631795985	advanced	STAFS
Loop1	complete	20	29	0.659959759	early	STAFS
Loop10	complete	20	31	0.656413762	early	STAFS
Loop100	complete	20	27	0.633671654	early	STAFS
Loop11	complete	20	28	0.641469445	early	STAFS
Loop12	complete	20	29	0.645417423	early	STAFS
Loop13	complete	20	28	0.620408163	early	STAFS
Loop14	complete	20	28	0.640296393	early	STAFS
Loop15	complete	20	28	0.631349616	early	STAFS
Loop16	complete	20	30	0.633446143	early	STAFS
Loop17	complete	20	28	0.644303065	early	STAFS
Loop18	complete	20	25	0.650553422	early	STAFS
Loop19	complete	20	28	0.662606297	early	STAFS
Loop2	complete	20	30	0.6585016	early	STAFS
Loop20	complete	20	27	0.656732192	early	STAFS
Loop21	complete	20	28	0.666431179	early	STAFS
Loop22	complete	20	29	0.655462185	early	STAFS
Loop23	complete	20	28	0.637512361	early	STAFS
Loop24	complete	20	33	0.632759028	early	STAFS
Loop25	complete	20	27	0.635898602	early	STAFS
Loop26	complete	20	29	0.661993097	early	STAFS
Loop27	complete	20	31	0.648946309	early	STAFS
Loop28	complete	20	28	0.619371185	early	STAFS
Loop29	complete	20	28	0.662340783	early	STAFS
Loop3	complete	20	28	0.631091618	early	STAFS
Loop30	complete	20	30	0.655651603	early	STAFS
Loop31	complete	20	27	0.630730051	early	STAFS
Loop32	complete	20	31	0.631117267	early	STAFS
Loop33	complete	20	29	0.638755981	early	STAFS
Loop34	complete	20	28	0.652675994	early	STAFS
Loop35	complete	20	27	0.630371801	early	STAFS
Loop36	complete	20	29	0.644278911	early	STAFS
Loop37	complete	20	30	0.631122274	early	STAFS
Loop38	complete	20	33	0.649264863	early	STAFS
