SampleID	season	sample_site	add_0c	facility	decomp_stage	sample_type
soil.ctrlCMU.17.04.2017.03.day7	winter	not_applicable	76.65	CMU	active	soil_control
soil.ctrlCMU.17.04.2017.03.day8	winter	not_applicable	92.2	CMU	active	soil_control
soil.ctrlCMU.17.04.2017.03.day9	winter	not_applicable	109.7	CMU	active	soil_control
soil.ctrlSHSU.2016.072.2016.11.21.day18	fall	not_applicable	305.2	SHSU	advanced	soil_control
soil.face.CMU.16.03.2016.3.day1	spring	soil.face	0	CMU	early	soil
soil.face.CMU.16.03.2016.3.day10	spring	soil.face	80.83333334	CMU	active	soil
soil.face.CMU.16.03.2016.3.day11	spring	soil.face	89.72222223	CMU	active	soil
soil.face.CMU.16.03.2016.3.day12	spring	soil.face	102.7777778	CMU	active	soil
soil.face.CMU.16.03.2016.3.day13	spring	soil.face	113.0555556	CMU	active	soil
soil.face.CMU.16.03.2016.3.day14	spring	soil.face	117.7777778	CMU	active	soil
soil.face.CMU.16.03.2016.3.day15	spring	soil.face	123.8888889	CMU	active	soil
soil.face.CMU.16.03.2016.3.day16	spring	soil.face	130.8333333	CMU	active	soil
soil.face.CMU.16.03.2016.3.day17	spring	soil.face	135.2777778	CMU	active	soil
soil.face.CMU.16.03.2016.3.day18	spring	soil.face	141.1111111	CMU	active	soil
soil.face.CMU.16.03.2016.3.day19	spring	soil.face	153.3333333	CMU	active	soil
soil.face.CMU.16.03.2016.3.day2	spring	soil.face	13.05555556	CMU	early	soil
soil.face.CMU.16.03.2016.3.day20	spring	soil.face	160.8333333	CMU	active	soil
